Index,Date, Nikkei Open,STI Open
951,09/27/13,14803.99,3210.25
952,09/30/13,14530.62,3195.84
953,10/1/2013,14517.98,3180.72
954,10/2/2013,14492.47,3193.07
955,10/3/2013,14140.11,3147.32
956,10/4/2013,14029.73,3134.24
957,10/7/2013,14057.79,3146.05
958,10/8/2013,13794.74,3125.29
959,10/9/2013,13789.89,3135.72
960,10/10/2013,14097.62,3167.92
961,10/11/2013,14376.89,3193.13
962,10/16/13,14433.64,3179.57
963,10/17/13,14640.08,3195.9
964,10/18/13,14589.6,3201.47
965,10/21/13,14624.03,3206.01
966,10/22/13,14677.08,3202.87
967,10/23/13,14784.41,3220.95
968,10/24/13,14344.74,3201.97
969,10/25/13,14439.14,3220.53
970,10/28/13,14261.65,3216.75
971,10/29/13,14288.72,3205.37
972,10/30/13,14464.67,3215.29
973,10/31/13,14474.01,3218.48
,02/16/18,21555.99,#N/A
975,11/1/2013,14403.07,3212.13
976,11/5/2013,14319.75,3213.86
977,11/6/2013,14155.34,3206.35
978,11/7/2013,14355.56,3215.35
979,11/8/2013,14026.17,3190.95
980,11/11/2013,14271.48,3184.09
981,11/12/2013,14289.87,3186.13
982,11/13/13,14527.97,3185.36
983,11/14/13,14665.75,3180.37
984,11/15/13,15034.33,3192.47
985,11/18/13,15253.24,3215.38
986,11/19/13,15096.63,3204.2
987,11/20/13,15176.35,3197.39
988,11/21/13,15176.65,3175.7
989,11/22/13,15513.45,3175.98
990,11/25/13,15504.78,3185.62
991,11/26/13,15501.95,3178.13
992,11/27/13,15414.52,3175.12
993,11/28/13,15622.19,3178.73
994,11/29/13,15661.43,3178.27
995,12/2/2013,15659.74,3177.87
996,12/3/2013,15747.54,3181.9
997,12/4/2013,15520.2,3176.23
998,12/5/2013,15354.53,3143.39
999,12/6/2013,15112.54,3113.61
1000,12/9/2013,15556.6,3122.14
1001,12/10/2013,15633.97,3115.46
1002,12/11/2013,15509.93,3077.16
1003,12/12/2013,15377.32,3034
